Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
FFQ0015,How often did you eat applesauce?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0016,How often did you eat apples?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0017,"How often did you eat pears (fresh, canned, or frozen)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0018,How often did you eat bananas?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0019,How often did you eat pineapple?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0020,"How often did you eat dried fruit, such as prunes or raisins?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0021,"Over the past 12 months, did you eat peaches, nectarines, or plums?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0021A,"How often did you eat fresh peaches, nectarines, or plums WHEN IN SEASON?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0021B,"How often did you eat fresh peaches, nectarines, or plums (fresh, canned, or frozen) DURING THE REST OF THE YEAR?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0022,How often did you eat grapes?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0023,"Over the past 12 months, did you eat melons (such as cantaloupe, watermelon, or honeydew)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0023A,"How often did you eat fresh melons (such as cantaloupe, watermelon, or honeydew) WHEN IN SEASON?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0023B,"How often did you eat fresh or frozen melons (such as cantaloupe, watermelon, or honeydew) DURING THE REST OF THE YEAR)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0024,Did you eat strawberries?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0024A,How often did you eat fresh strawberries WHEN IN SEASON?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0024B,How often did you eat fresh or frozen strawberries DURING THE REST OF THE YEAR?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0025,"Over the past 12 months, did you eat oranges, tangerines, clementines, or tangelos?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0025A,"How often did you eat fresh oranges, tangerines, clementines, or tangelos WHEN IN SEASON?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0025B,"How often did you eat oranges, tangerines, clementines, or tangelos (fresh or canned) DURING THE REST OF THE YEAR?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0026,"Over the past 12 months, did you eat grapefruit?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0026A,How often did you eat fresh grapefruit WHEN IN SEASON?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0026B,How often did you eat grapefruit (fresh or canned) DURING THE REST OF THE YEAR?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0027,How often did you eat other kinds of fruit?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0028,"How often did you eat COOKED greens (such as spinach, turnip, collard, mustard, chard, or kale)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0029,"How often did you eat RAW greens (such as spinach, turnip, collard, mustard, chard, or kale)?  (We will ask about lettuce later.)",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0030,How often did you eat coleslaw?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0031,How often did you eat sauerkraut or cabbage (other than coleslaw)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0032,"How often did you eat carrots (fresh, canned, or frozen)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0033,"How often did you eat string beans or green beans (fresh, canned, or frozen)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0034,"How often did you eat peas (fresh, canned, or frozen)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0035,"Over the past 12 months, did you eat corn?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0035A,"How often did you eat corn (fresh, canned, or frozen) WHEN IN SEASON?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0035B,"How often did you eat corn (fresh, canned, or frozen) DURING THE REST OF THE YEAR?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0036,How often did you eat broccoli (fresh or frozen)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0037,How often did you eat cauliflower or Brussels sprouts (fresh or frozen)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0038,How often did you eat mixed vegetables?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0039,How often did you eat onions (including in mixtures)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0040,"Over the past 12 months, how often did you eat sweet or hot peppers (green, red, or yellow)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0041,How often did you eat raw cucumbers (not including pickles)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0042,"Over the past 12 months, did you eat fresh tomatoes (including those in salads)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0042A,How often did you eat fresh tomatoes (including those in salads) WHEN IN SEASON?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0042B,How often did you eat fresh tomatoes (including those in salads) DURING THE REST OF THE YEAR?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0043,Did you eat summer squash (include yellow and green squash)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0043A,How often did you eat summer squash WHEN IN SEASON (include yellow and green squash)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0043B,How often did you eat summer squash DURING THE REST OF THE YEAR (include yellow and green squash)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0044,How often did you eat lettuce salads (with or without other vegetables)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0044A,How often were the lettuce salads you ate made with dark green leaves?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0045,How often did you eat salad dressing (including low-fat) on salads or other vegetables?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0046,How often did you eat sweet potatoes or yams?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0047,"How often did you eat French fries, home fries, hash browned potatoes, or tater tots?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0048,How often did you eat potato salad?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0049,"How often did you eat baked, broiled, or mashed potatoes?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0050,How often did you eat salsa?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0051,How often did you eat catsup?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0052,How often did you eat pickles or pickled vegetables?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0053,"How often did you eat stuffing, dressing, or dumplings?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0054,How often did you eat chili?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0055,How often did you eat tortillas or tacos?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0055A,How often were your tortillas or tacos corn tortillas or tacos?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0056,"How often did you eat cooked dried beans (such as baked beans, pintos, kidney, blackeyed peas, lima, lentils, soybeans, or refried beans?  (Please don't include bean soups or chili.)",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0057,How often did you eat other kinds of vegetables?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0058,"How often did you eat rice or other cooked grains (such as bulgur, cracked wheat, or millet)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0058A,"How often was the rice or other cooked grains you ate brown rice, cracked wheat, or millet?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0059,"How often did you eat pancakes, waffles, or French toast?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0059A,"How often was syrup added to your pancakes, waffles, or French toast?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0060,"How often did you eat lasagna, stuffed shells, stuffed manicotti, ravioli, or tortellini? (Please do not include spaghetti or other pasta.)",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0061,How often did you eat macaroni and cheese?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0062,How often did you eat pasta salad or macaroni salad?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0063,"Other than the pastas listed in Question 60, 61, and 62, how often did you eat pasta, spaghetti, or other noodles?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0063A,"How often did you eat your pasta, spaghetti, or other noodles with tomato sauce or spaghetti sauce made WITH meat?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0063B,"How often did you eat your pasta, spaghetti, or other noodles with tomato sauce or spagetti sauce made WITHOUT meat?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0063C,"How often did you eat your pasta, spaghetti, or other noodles with margarine, butter, oil, or cream sauce?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0064,How often did you eat bagels or English muffins?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0065,How often did you eat breads or rolls AS PART OF SANDWICHES (including burger and hot dog rolls)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0065A,How often were the breads or rolls that you used for your sandwiches white bread (including burger and hot dog rolls)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0066,How often did you eat breads or dinner rolls NOT AS PART OF SANDWICHES?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0066A,How often were the breads or rolls you ate white bread?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0067,"How often did you eat jam, jelly, or honey on bagels, muffins, bread, rolls, or crackers?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0068,How often did you eat peanut butter or other nut butter?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0069,How often did you eat roast beef or steak IN SANDWICHES?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0070,"How often did you eat turkey or chicken COLD CUTS (such as loaf, luncheon meat, turkey ham, turkey salami, or turkey pastrami)?  (We will ask about other turkey or chicken later.)",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0071,How often did you eat  luncheon or deli-style ham?  (We will ask about other ham later.),FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0071A,"How often was the luncheon or deli-style ham you ate light, low-fat, or fat-free?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0072,"How often did you eat other cold cuts or luncheon meats (such as bologna, salami, corned beef, pastrami, or others, including low-fat)?  (Please do not include ham, turkey, or chicken cold cuts.)",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0072A,"How often were the other cold cuts or luncheon meats you ate light, low-fat or fat-free?  (Please do not include ham, turkey, or chicken cold cuts.)",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0073,"How often did you eat canned tuna (including in salads, sandwiches, or casseroles)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0074,How often did you eat GROUND chicken or turkey?  (We will ask about other chicken and turkey later.),FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0075,How often did you eat beef hamburgers or cheeseburgers?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0075A,How often were the beef hamburgers or cheeseburgers you ate made with lean ground beef?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0076,"How often did you eat ground beef in mixtures (such as meatballs, casseroles, chili, or meatloaf)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0077,How often did you eat hot dogs or frankfurters?  (Please do not include sausages or vegetarian hot dogs.),FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0077A,How often were the hot dogs or frankfurters you ate light or low-fat hot dogs?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0078,"How often did you eat beef mixtures such as beef stew, beef pot pie, beef and noodles, or beef and vegetables?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0079,How often did you eat roast beef or pot roast?  (Please do not include roast beef or pot roast in sandwiches.),FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0080,How often did you eat steak (beef)?  (Do not include steak in sandwiches.),FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0080A,How often was the steak you ate lean steak?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0081,How often did you eat pork or beef spareribs?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0082,"How often did you eat roast turkey, turkey cutlets, or turkey nuggets (including in sandwiches)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0083,"How often did you eat chicken as part of salads, sandwiches, casseroles, stews, or other mixtures?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0084,"How often did you eat baked, broiled, roasted, stewed, or fried chicken (including nuggets)?  (Please do not include chicken in mixtures.)",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0084A,How often was the chicken you ate fried chicken (including deep fried) or chicken nuggets?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0084B,How often was the chicken you ate WHITE MEAT?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0084C,How often did you eat chicken WITH skin?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0085,How often did you eat baked ham or ham steak?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0086,"How often did you eat pork (including chops, roasts, and in mixed dishes)?  (Please do not include ham, ham steak, or sausage.)",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0087,"How often did you eat gravy on meat, chicken, potatoes, rice, etc.?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0088,How often did you eat liver (all kinds) or liverwurst?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0089,How often did you eat bacon (including low-fat)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0089A,"How often was the bacon you ate light, low-fat, or lean bacon?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0090,How often did you eat sausage (including low-fat)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0090A,"How often was the sausage you ate light, low-fat, or lean sausage?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0091,"How often did you eat smoked fish or seafood (such as smoked salmon, lox, or others)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0092,How often did you eat sushi,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0092A,How often did the sushi you ate contain raw fish or seafood (including shellfish)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0093,"How often did you eat raw oysters, raw clams, or other raw fish (not including raw fish in sushi)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0094,How often did you eat fish sticks or fried fish (including fried seafood or shellfish)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0095,"How often did you eat all other fish or seafood (including shellfish) that was NOT FRIED, SMOKED, or RAW?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0096,"How often did you eat tofu, soy burgers, or soy meat-substitutes?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0097,"Over the past 12 months, did you eat soups?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0097A,How often did you eat soup DURING THE WINTER?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0097B,How often did you eat soup DURING THE REST OF THE YEAR?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0097C,How often were the soups you ate bean soups?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0097D,How often were the soups you ate cream soups (including chowders)?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0097E,How often were the soups you ate tomato or vegetable soups?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0097F,How often were the soups you ate broth soups (including chicken) with or without noodles or rice?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0098,How often did you eat pizza?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0098A,"How often did you eat pizza with pepperoni, sausage, or other meat?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0099,How often did you eat crackers?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0100,How often did you eat corn bread or corn muffins?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0101,How often did you eat biscuits?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0102,"How often did you eat potato chips (including low-fat, fat-free, or low salt)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0102A,How often were the potato chips you ate low-fat or fat-free chips?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0103,"How often did you eat tortilla chips, or corn chips (including low-fat, fat-free, or low-salt)?",FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
FFQ0103A,How often were the tortilla or corn chips you ate low-fat or fat-free chips?,FFQRAW_D,Food Frequency Questionnaire - Raw Questionnaire Responses,2005,2006,Dietary,None
